Anadarko,Appalachian,Gulf Coast,Oklahoma Platform and Associated Basins,Fort Worth,Rocky Mountain Basins,Illinois,Michigan,Permian,Williston
Amarillo Arch,Appalachian,Arkla,Arkoma,Bend Arch,Big Horn,Illinois,Michigan,Palo Duro,Williston
Anadarko,Black Warrior,East Texas,Arkoma - Chautauqua Platform,Fort Worth,Black Mesa,,,Permian,
Anadarko - Chautauqua Platform,,Gulf Coast,Central Kansas Uplift,Llano Uplift,Denver,,,,
Anadarko - Southern Oklahoma,,,Chautauqua Platform,Ouachita Thrust,Green River,,,,
,,,Cherokee,,Paradox,,,,
,,,Kansas Basins,,Piceance,,,,
,,,Nemaha Uplift,,Powder River,,,,
,,,Sedgwick,,San Juan,,,,
,,,Southern Oklahoma,,Uinta,,,,
,,,,,Wind River,,,,
