Li,DEPTHUPPER
19.8,1.7523
201.0,17.7885
202.0,17.877
91.0,8.0535
34.1,3.01785
87.5,7.7437499999999995
54.6,4.8321
92.2,8.159699999999999
21.4,1.8938999999999997
56.1,4.96485
112.0,9.911999999999999
34.6,3.0621
89.9,7.95615
89.9,7.95615
73.7,6.52245
49.1,4.34535
33.9,3.0001499999999997
86.0,7.611
94.9,8.39865
88.4,7.8234
12.3,1.08855
40.0,3.54
106.0,9.381
65.4,5.7879000000000005
136.0,12.036
72.6,6.4251
33.9,3.0001499999999997
78.2,6.9207
39.6,3.5046
73.9,6.540150000000001
56.8,5.0268
12.8,1.1328
46.9,4.15065
85.6,7.575599999999999
86.5,7.65525
67.2,5.9472
83.3,7.37205
76.4,6.7614
90.4,8.0004
66.2,5.8587
74.5,6.593249999999999
55.9,4.94715
76.5,6.77025
81.7,7.23045
67.0,5.9295
633.925,56.10236249999999
69.3,6.133049999999999
66.5,5.88525
65.3,5.77905
66.9,5.92065
71.5,6.32775
66.7,5.90295
63.8,5.646299999999999
53.0,4.6905
94.0,8.318999999999999
117.0,10.3545
72.5,6.41625
122.0,10.796999999999999
95.7,8.46945
117.0,10.3545
181.0,16.0185
195.2,17.275199999999998
886.1505,10013.0
844.9095,9547.0
777.8265,8789.0
898.3634999999999,10151.0
898.3634999999999,10151.0
818.5364999999999,9249.0
604.5435,6831.0
648.6165,7329.0
727.9124999999999,8225.0
853.0514999999999,9639.0
868.716,9816.0
825.174,9324.0
825.174,9324.0
825.174,9324.0
833.9354999999999,9423.0
965.1809999999999,10906.0
597.2864999999999,6749.0
627.996,7096.0
549.3195,6207.0
596.6669999999999,6742.0
574.365,6490.0
559.7624999999999,6325.0
572.5949999999999,6470.0
819.4214999999999,9259.0
845.2634999999999,9551.0
846.6795,9567.0
927.6569999999999,10482.0
839.9535,9491.0
51.4,8000.0
59.2,8000.0
61.3,8000.0
66.6,8000.0
68.0,8000.0
53.0,8000.0
83.0,8000.0
86.4,8000.0
95.0,8000.0
97.6,8000.0
95.9,8000.0
96.2,8000.0
10.7,8000.0
43.9,8000.0
47.9,8000.0
50.9,8000.0
53.2,8000.0
54.7,8000.0
62.3,8000.0
61.9,8000.0
75.6,8000.0
82.5,8000.0
93.3,8000.0
97.4,8000.0
28.0,8000.0
35.0,8000.0
36.0,8000.0
39.0,8000.0
40.0,8000.0
45.0,8000.0
51.0,8000.0
54.0,8000.0
57.0,8000.0
60.0,8000.0
61.0,8000.0
62.0,8000.0
79.0,8000.0
84.0,8000.0
96.2,8000.0
85.0,8000.0
85.3,8000.0
235.0,4500.0
245.0,5000.0
249.0,4500.0
233.0,4000.0
208.0,5500.0
263.0,5500.0
254.0,5500.0
198.0,5500.0
243.0,8500.0
282.0,6000.0
254.0,5500.0
169.0,5500.0
124.0,10906.0
77.3,10853.0
1205.724,13624.0
83.9,13690.0
1153.4205,13033.0
1156.2524999999998,13065.0
322.0,13384.0
145.0,13624.0
1189.971,13446.0
127.0,13446.0
1227.2295,13867.0
1221.654,13804.0
60.0,13804.0
1213.866,13716.0
1236.522,13972.0
967.7475,10935.0
965.0039999999999,10904.0
965.1809999999999,10906.0
24.9,10890.0
208.0,10930.0
255.0,10930.0
969.3404999999999,10953.0
966.8625,10925.0
208.0,10960.0
46.1,10800.0
97.0,13587.0
1180.59,13340.0
1201.3875,13575.0
1188.024,13424.0
957.3045,10817.0
931.3739999999999,10524.0
938.0999999999999,10600.0
948.012,10712.0
940.578,10628.0
654.8114999999999,7399.0
653.661,7386.0
654.9884999999999,7401.0
650.4749999999999,7350.0
653.13,7380.0
619.146,6996.0
569.9399999999999,6440.0
42.6,6921.0
612.1545,6917.0
669.7679999999999,7568.0
672.5115,7599.0
898.1864999999999,10149.0
146.0,10918.0
201.0,10744.0
44.0,10778.0
50.0,10780.0
94.0,10712.0
27.0,10616.0
168.0,10606.0
85.0,13084.0
1157.2259999999999,13076.0
120.0,11933.0
190.0,7399.0
290.0,10500.0
120.0,11036.0
250.0,10838.0
200.0,10906.0
4.4,5444.0
4.2,6028.0
4.0,6140.0
928.9844999999999,10497.0
3.7,8362.0
7.5,9293.0
788.535,8910.0
4.9,8840.0
6.3,8837.0
772.3394999999999,8727.0
791.8979999999999,8948.0
7.0,8940.0
