BASIN,WELLNAME,LATITUDE,LONGITUDE
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Permian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
Appalachian,,,
